Tempo	Nome do Dispositivo	Tipo	PID	Marca	Mensagem
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Task=2730#22710 z=17} no children}] reparent to OffscreenRoot
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{ActivityRecord{135862822 u0 com.myvocalist/crc64eea2bef31ba6694c.MainActivity t2730}#22711} 2 children}] RelativeParent to null
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{ActivityRecord{135862822 u0 com.myvocalist/crc64eea2bef31ba6694c.MainActivity t2730}#22711} 2 children}] reparent to OffscreenRoot
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Task=2730#22756 z=17} no children}] RelativeParent to null
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{Task=2730#22756 z=17} no children}] reparent to OffscreenRoot
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	[LayerHierarchy{RequestedLayerState{RemoteWallpaperAnim:1:1#7 parentId=4 z=1} 1 children}] reparent to LayerHierarchy{RequestedLayerState{OneHanded:0:14#4 parentId=3} 4 children}
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed Surface(name=Task=2730#22710)/@0xf7f8cb6_transition-leash#22753 form LifecycleManager
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed Surface(name=Task=1#46)/@0xfdcd78_transition-leash#22752 form LifecycleManager
07-14 23:00:13.815	Samsung SM-S918B	Info	1918	SurfaceFlinger	destroyed Transition Root: Task=1#22751 form LifecycleManager
07-14 23:00:13.808	Samsung SM-S918B	Info	4554	HoneySpace.HistoryViewModel@208321442@OneUI	Illegal access. Unknown type. skip load history items
07-14 23:00:13.803	Samsung SM-S918B	Info	4554	HoneySpace.RecentTasks	onRecentTasksChanged l:259819771
07-14 23:00:13.803	Samsung SM-S918B	Debug	2712	WifiDisplayAdapter	isFitToActiveDisplayLocked : false
07-14 23:00:13.803	Samsung SM-S918B	Debug	3976	DisplayLifecycle	updateDisplay id = 0
07-14 23:00:13.803	Samsung SM-S918B	Debug	3976	StackScroller	onDisplayChanged for predraw skip to 2
07-14 23:00:13.803	Samsung SM-S918B	Info	4554	HoneySpace.Memory-Monitor	current state = 2, didTrim = false
07-14 23:00:13.803	Samsung SM-S918B	Info	4554	HoneySpace.RecentTasks	onRunningTaskVanished
07-14 23:00:13.803	Samsung SM-S918B	Warning	2712	ImageReader_JNI	Unable to acquire a buffer item, very likely client tried to acquire more than maxImages buffers
07-14 23:00:13.802	Samsung SM-S918B	Info	1918	SurfaceFlinger	id=22752 Removed Surface(name=Task=1#46)/@0xfdcd78_transition-leash#22752 (203)
